Name,Qty,Value,Index,Specs,Package,Mouser reference,Note
SMD parts:,,,,,,,
Resistor,1,10,R30,,2512,279-CRGP2512F10R,
"Resistor, 1%",1,68,R32,,0603,603-AC0603FR-0768RL,
"Resistor, 1%",1,220,R33,,0603,652-CR0603FX-2200ELF,
"Resistor, 1%",2,1k,R12 R13,,0603,652-CR0603FX-1001ELF,
"Resistor, 1%",2,3.3k,R8 R9,,0603,652-CR0603-FX3301ELF,
"Resistor, 1%",6,5.6k,R6 R7 R14 R15 R16 R17,,0603,652-CR0603FX-5601ELF,
"Resistor, 1%",14,10k,R3 R18 R20 R22 R23 R24 R25 R26 R27 R28 R29 R31 R36 R37,,0603,652-CR0603FX-1002ELF,
"Resistor, 1%",2,22k,R4 R5,,0603,652-CR0603FX-2202ELF,
"Resistor, 1%",1,22.1k,R19,,0603,652-CR0603FX-2212ELF,
"Resistor, 1%",2,33k,R58 R59,,0603,652-CR0603FX-3302ELF,
"Resistor, 1%",4,39k,R1 R2 R10 R11,,0603,652-CR0603FX-3902ELF,
"Resistor, 1%",2,47k,R46 R47,,0603,652-CR0603FX-4702ELF,
"Resistor, 1%",1,47.5k,R21,,0603,603-RC0603FR-0747K5L,
"Resistor, 1%",4,66.5k,R48 R49 R60 R61,,0603,652-CR0603-FX6652ELF,
"Resistor, 1%",10,100k,R34 R35 R39 R41 R43 R45 R51 R53 R55 R57,,0603,603-RC0603FR-07100KL,
"Resistor, 1%",2,180k,R38 R40,,0603,652-CR0603FX-1803ELF,
"Resistor, 1%",6,200k,R42 R44 R50 R52 R54 R56,,0603,652-CR0603FX-2003ELF,
"Capacitor, ceramic",4,18pF,C4 C5 C7 C8,,0603,80-C0603C180J5G,
"Capacitor, ceramic",2,220pF,C9 C10,,0603,710-885012206055,
"Capacitor, ceramic",8,1nF,C49 C50 C51 C52 C53 C54 C55 C56,,0603,77-VJ0603Y102KXQCBC,
"Capacitor, ceramic",21,100nF,C14 C16 C17 C18 C19 C20 C22 C27 C28 C29 C30 C33 C35 C37 C41 C44 C46 C47 C48 C57 C58,,0603,80-C0603X104K5R,
"Capacitor, ceramic",3,1uF,C6 C43 C45,,0603,603-CC603KRX7R7BB105,
"Capacitor, ceramic",15,10uF,C1 C2 C3 C11 C12 C13 C15 C21 C23 C24 C25 C26 C31 C32 C40,,0805,81-GRM21BR70J106KA3L,
"Capacitor, tantalum, polarized",3,22uF,C38 C39 C42,,1206,755-TCTAL1C226M8R,
"Capacitor, ceramic",1,10uF,C34,,1210,710-885012209005,
"Capacitor, electrolytic",1,1000uF,C36,,Panasonic G,661-APXG160A102MJA0G,
Ferrite bead,2,,F1 F2,,0805,623-2508056017Y2,
STPS2L40ZFY diode,2,,D1 D2,,SOD-123,511-STPS2L40ZFY,
Crystal 11.2896MHz,1,,Q1,,HC49UP,815-ABLS211.2896B4YT,
ADP7118,1,,IC7,,SOT23-5,584-ADP7118AUJZ3.3R7,
CP2102N,1,,IC6,,CP2102N,634-CP2102NA02GQFN24,
ESP32-WROVER-B,1,,IC5,,,356-ESP32-WROVER-IB,
LM4040 Shunt Vref,1,10V,U1,,SOT23,595-LM4040B10IDBZR,
MCP3208,1,,IC9,,SOIC16,579-MCP3208T-CI/SL,
MCP6004 Quad Opamp,2,,IC10 IC11,,TSSOP14,579-MCP6004-I/ST,
MIC803,1,,IC1,,SOT23,998-MIC803-31D3VM3TR,
SS8050-G,5,,Q2 Q3 Q4 Q5 Q6,,SOT23,750-SS8050-G,
TL072 Dual Opamp,2,,IC2 IC3,,SOIC8,595-TL072IDR,
WE173950378,1,,IC8,,WE78,919-R-78E3.3-1.0,
WM8731,1,,IC4,,SSOP28,238-WM8731SEDS/V,
,,,,,,,
Other parts:,,,,,,,
2.2 Inch 240*320 Dots SPI TFT,1,,,,ILI9341,,From Aliexpress https://www.aliexpress.com/item/32607741715.html?spm=a2g0s.9042311.0.0.68d84c4dK5twhJ
USB-B connector,1,,P2,,,538-105017-0001,
IPEX Antenna,1,,,,,,From Aliexpress https://www.aliexpress.com/item/4001275208954.html
Potentiometer,4,B10k,POT2 POT3 POT4 POT5,,,,From Thonk
Dual gang potentiometer,1,B100k,POT1,,,,From Thonk
Encoder,1,,SW1,,,,
Thonkiconn Jack,14,,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14,,,,From Thonk
Screen connector,1,,,,,798-MDF79S254DSA55,
SD card reader,1,,P1,,,,From Thonk
2x5 Male header,1,,P4,,,,
5mm red LED,1,,L1,,,743-INL-5AR30,
Tactile switch,2,,SW2 SW3,,,611-D6R00F1LFS,
M3 10mm female-female standoff,5,,,,,,
M3 6mm screw,10,,,,,,
